Date,Description,Amount
2025-01-15,ADOBE CREATIVE CLOUD,-59.99
2025-02-15,ADOBE CREATIVE CLOUD,-59.99
2025-03-15,ADOBE CREATIVE CLOUD,-59.99
2025-01-20,SLACK,-8.00
2025-02-20,SLACK,-8.00
2025-03-20,SLACK,-8.00
2025-01-10,FIGMA PROFESSIONAL,-15.00
2025-02-10,FIGMA PROFESSIONAL,-15.00
2025-01-12,NOTION TEAM,-10.00
2025-02-12,NOTION TEAM,-10.00
2025-01-05,LINEAR STANDARD,-10.00
2025-02-05,LINEAR STANDARD,-10.00
2025-01-08,ZOOM PRO,-14.99
2025-02-08,ZOOM PRO,-14.99
2025-01-22,GITHUB TEAM,-4.00
2025-02-22,GITHUB TEAM,-4.00
2025-03-01,AWS INVOICE,-120.00
2025-04-01,AWS INVOICE,-130.00
2025-03-10,ADOBE CREATIVE CLOUD REFUND,29.99
2025-03-15,SLACK,-8.00
2025-03-20,DUPLICATE ADOBE,-59.99
2025-04-01,SUSPICIOUS CHARGE,-3.50
2025-04-02,UNKNOWN VENDOR XYZ,-12.00
