Date,Description,Amount,Currency
2025-07-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-08-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-09-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-10-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-11-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-12-01,ADOBE CREATIVE CLOUD,-59.99,USD
2025-07-05,SLACK TECHNOLOGIES,-8.00,USD
2025-08-05,SLACK TECHNOLOGIES,-8.00,USD
2025-09-05,SLACK TECHNOLOGIES,-8.00,USD
2025-10-05,SLACK TECHNOLOGIES,-8.00,USD
2025-11-05,SLACK TECHNOLOGIES,-8.00,USD
2025-12-05,SLACK TECHNOLOGIES,-8.00,USD
2025-07-10,FIGMA PROFESSIONAL,-15.00,USD
2025-08-10,FIGMA PROFESSIONAL,-15.00,USD
2025-09-10,FIGMA PROFESSIONAL,-15.00,USD
2025-10-10,FIGMA PROFESSIONAL,-15.00,USD
2025-11-10,FIGMA PROFESSIONAL,-15.00,USD
2025-12-10,FIGMA PROFESSIONAL,-15.00,USD
2025-07-12,NOTION TEAM,-10.00,USD
2025-08-12,NOTION TEAM,-10.00,USD
2025-09-12,NOTION TEAM,-10.00,USD
2025-10-12,NOTION TEAM,-10.00,USD
2025-11-12,NOTION TEAM,-10.00,USD
2025-12-12,NOTION TEAM,-10.00,USD
2025-07-15,LINEAR STANDARD,-10.00,USD
2025-08-15,LINEAR STANDARD,-10.00,USD
2025-09-15,LINEAR STANDARD,-10.00,USD
2025-10-15,LINEAR STANDARD,-10.00,USD
2025-11-15,LINEAR STANDARD,-10.00,USD
2025-12-15,LINEAR STANDARD,-10.00,USD
2025-07-20,ZOOM PRO,-14.99,USD
2025-08-20,ZOOM PRO,-14.99,USD
2025-09-20,ZOOM PRO,-14.99,USD
2025-10-20,ZOOM PRO,-14.99,USD
2025-11-20,ZOOM PRO,-14.99,USD
2025-12-20,ZOOM PRO,-14.99,USD
2025-07-25,GITHUB TEAM,-4.00,USD
2025-08-25,GITHUB TEAM,-4.00,USD
2025-09-25,GITHUB TEAM,-4.00,USD
2025-10-25,GITHUB TEAM,-4.00,USD
2025-11-25,GITHUB TEAM,-4.00,USD
2025-12-25,GITHUB TEAM,-4.00,USD
2025-07-30,AMAZON WEB SERVICES,-128.40,USD
2025-08-30,AMAZON WEB SERVICES,-142.10,USD
2025-09-30,AMAZON WEB SERVICES,-156.75,USD
2025-10-30,AMAZON WEB SERVICES,-138.20,USD
2025-11-30,AMAZON WEB SERVICES,-149.05,USD
2025-12-30,AMAZON WEB SERVICES,-161.30,USD
2025-08-15,ADOBE REFUND CREDIT,29.99,USD
2025-09-20,SLACK TECHNOLOGIES,-8.00,USD
2025-10-12,NOTION TEAM,-0.00,USD
2025-10-22,UNKNOWN VENDOR XYZ,-12.00,USD
2025-11-08,RANDOM MERCHANT 8842,-3.50,USD
